exp_id,owner,phase,parent_exp,goal,split,input_template,model,lora_target_modules,lora_r,lora_alpha,lora_dropout,trainable_params,quant,seq_len,img_size,batch_size,grad_accum,epochs,lr,scheduler,warmup_ratio,max_train,max_val,use_lecture,use_hint,lecture_chars,hint_chars,scoring,hybrid_w,do_train,do_val_eval,do_test_inference,runtime_min,status,val_metric,val_n,public_score,artifacts,notes
E01,you,baseline,NA,Kaggle-compatible baseline smoke run,train/val/test starter,baseline prompt,HuggingFaceTB/SmolVLM-500M-Instruct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,letter-next-token,NA,NA,NA,NA,NA,success,NA,NA,0.65392,baseline notebook,Starter baseline submission
E02,you,qlora-setup,E01,First QLoRA screening run,train+val,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,NA,1,8,2,2e-4,cosine,0.1,NA,NA,True,True,1200,600,letter-next-token,NA,True,True,False,NA,success,NA,NA,NA,results.zip,First end-to-end qlora
E03,you,ablation,E02,A1 runtime-safe ablation,train1200+val400,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,NA,1,8,1,2e-4,cosine,0.1,1200,400,True,True,1200,600,letter-next-token,NA,True,True,False,NA,pending,NA,NA,NA,README only,Planned one-by-one ablation
E04,you,qlora-setup,E02,MVP sanity run small data,train256+val128,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,2e-4,cosine,0.1,256,128,False,False,0,0,letter-next-token,NA,True,True,False,27.6,success,0.3828,128,NA,results.zip,Quick throughput check
E05,you,ablation,E04,Scale train set to 1024,train1024+val400,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,False,False,0,0,letter-next-token,NA,True,True,False,111.2,success,0.4425,400,NA,results.zip,Base for later recovery
E06,you,ablation,E05,Scale train to 2048,train2048+val400,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,2e-4,cosine,0.1,2048,400,False,False,0,0,letter-next-token,NA,True,True,False,215.9,success,0.3700,400,NA,results.zip,Longer but weaker val
E07,you,ablation,E05,LR recovery from E05,train1024+val400,manual template,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,False,False,0,0,letter-next-token,NA,True,True,False,112.9,success,0.4575,400,NA,results.zip,Recovered local val
E08,you,ablation,E07,Hint-only context test,train1024+val400,hint-focused prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,False,True,0,400,letter-next-token,NA,True,True,False,108.5,success,0.4575,400,NA,results.zip,No gain vs E07
E09,you,ablation,E08,Hint+lecture short context,train1024+val400,hint+lecture prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,True,True,400,400,letter-next-token,NA,True,True,False,113.2,cuda-error,NA,NA,NA,results.zip,Illegal memory access during train
E10,you,ablation,E08,Lecture-only context,train1024+val400,lecture-only prompt,HuggingFaceTB/SmolVLM-500M-Instruct,q/k/v/o,8,16,0.05,2080768,4bit-nf4,NA,192,1,16,1,1e-4,cosine,0.1,1024,400,True,False,200,0,letter-next-token,NA,True,True,False,109.7,success,0.4575,400,NA,results.zip,No gain vs E08
